t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
   0.63937661935742351E-008   0.599219063E-009   0.000000000E+000
   0.64091728591009200E-008   0.473654393E-009   0.000000000E+000
   0.64245795246276050E-008   0.548349199E-009   0.000000000E+000
   0.64399861901542899E-008   0.752225060E-009   0.000000000E+000
   0.64553928556809748E-008   0.909442466E-009   0.000000000E+000
   0.64707995212076597E-008   0.890209129E-009   0.000000000E+000
   0.64862061867343446E-008   0.717915671E-009   0.000000000E+000
   0.65016128522610295E-008   0.543791623E-009   0.000000000E+000
   0.65170195177877144E-008   0.514287057E-009   0.000000000E+000
   0.65324261833143993E-008   0.647618459E-009   0.000000000E+000
   0.65478328488410842E-008   0.824303348E-009   0.000000000E+000
   0.65632395143677691E-008   0.894360974E-009   0.000000000E+000
   0.65786461798944540E-008   0.804423972E-009   0.000000000E+000
   0.65940528454211389E-008   0.637191966E-009   0.000000000E+000
   0.66094595109478238E-008   0.535716527E-009   0.000000000E+000
   0.66248661764745087E-008   0.581674098E-009   0.000000000E+000
   0.66402728420011936E-008   0.730296379E-009   0.000000000E+000
   0.66556795075278785E-008   0.852950155E-009   0.000000000E+000
   0.66710861730545634E-008   0.847905746E-009   0.000000000E+000
   0.66864928385812483E-008   0.724693305E-009   0.000000000E+000
   0.67018995041079332E-008   0.591874993E-009   0.000000000E+000
   0.67173061696346181E-008   0.561505009E-009   0.000000000E+000
   0.67327128351613030E-008   0.654382992E-009   0.000000000E+000
   0.67481195006879879E-008   0.786781751E-009   0.000000000E+000
   0.67635261662146728E-008   0.846011816E-009   0.000000000E+000
   0.67789328317413577E-008   0.786218424E-009   0.000000000E+000
   0.67943394972680426E-008   0.663000543E-009   0.000000000E+000
   0.68097461627947276E-008   0.581959259E-009   0.000000000E+000
