t              pw-in-box.fdtd_before_Ex_3_3_1.dat       incid
4.00573305921665868e-09   1.80418594718156716e-01   2.29211736595990985e-57
4.02113972482903040e-09   1.46300273146612203e-01   3.46756607941285200e-58
4.03654639044140211e-09   2.23080526267608881e-02   5.17564158897687342e-59
4.05195305605377383e-09   -1.23584953423283017e-01   7.62051340889536188e-60
4.06735972166614555e-09   -2.05041504898508531e-01   1.10683648058121499e-60
4.08276638727851809e-09   -1.69038013803111647e-01   1.58612101615294837e-61
4.09817305289088981e-09   -3.06846599094600936e-02   2.24217105438344191e-62
4.11357971850326152e-09   1.31737729253110336e-01   3.12665016443616263e-63
4.12898638411563324e-09   2.21178638197318506e-01   4.30175403640079989e-64
4.14439304972800496e-09   1.80550492962797210e-01   5.83835342961358780e-65
4.15979971534037667e-09   3.00062575741640858e-02   7.81649809046920648e-66
4.17520638095274839e-09   -1.41846585934378322e-01   1.03250451608693022e-66
4.19061304656512011e-09   -2.29930680738624993e-01   1.34539296369930788e-67
4.20601971217749182e-09   -1.77584433001191117e-01   1.72934749304537996e-68
4.22142637778986354e-09   -1.41085481082285635e-02   2.19318604890416686e-69
4.23683304340223526e-09   1.60240688881264942e-01   2.74375325171481255e-70
4.25223970901460697e-09   2.35013821557772423e-01   3.38601922112547774e-71
4.26764637462697869e-09   1.59687285318878214e-01   4.12283656456500234e-72
4.28305304023935041e-09   -2.13163454141662156e-02   4.95197088509253148e-73
4.29845970585172212e-09   -1.93129644926404304e-01   5.86723762235737964e-74
4.31386637146409384e-09   -2.41886316315788857e-01   6.85889087349413432e-75
4.32927303707646555e-09   -1.29381596730834048e-01   7.90948565967400941e-76
4.34467970268883810e-09   7.75399048512461775e-02   8.99735888086815686e-77
4.36008636830120981e-09   2.44893538691694446e-01   1.00983122879172008e-77
4.37549303391358153e-09   2.56225560307131839e-01   1.11803534528508509e-78
4.39089969952595325e-09   9.14848803613939054e-02   1.22105019644270805e-79
4.40630636513832496e-09   -1.52324285501476170e-01   1.31577257653823342e-80
4.42171303075069668e-09   -3.16633456133355251e-01   1.39862070750700909e-81
4.43711969636306840e-09   -2.82099186191505369e-01   1.46652374730897056e-82
4.45252636197544011e-09   -5.16706004681950493e-02   1.51722501260611398e-83
4.46793302758781183e-09   2.40355589287568006e-01   1.54839408844041465e-84
4.48333969320018355e-09   4.05400198693069036e-01   1.55876910637458952e-85
4.49874635881255526e-09   3.20295920216605579e-01   1.54830418142687235e-86
4.51415302442492698e-09   1.45887519714150149e-02   1.51705101457879254e-87
4.52955969003729870e-09   -3.34550258928747180e-01   1.46626202777899966e-88
