t              twoWires.fdtd_Bulk probe_Jx_15_11_13__15_13_17.dat
   0.82082000365472224E-009   0.129695625E-011
   0.82236000366157913E-009   0.146375425E-011
   0.82390000366843602E-009   0.165141598E-011
   0.82544000367529291E-009   0.186247523E-011
   0.82698000368214980E-009   0.209976307E-011
   0.82852000368900669E-009   0.236644363E-011
   0.83006000369586358E-009   0.266604794E-011
   0.83160000370272047E-009   0.300252076E-011
   0.83314000370957736E-009   0.338026222E-011
   0.83468000371643425E-009   0.380418136E-011
   0.83622000372329114E-009   0.427975190E-011
   0.83776000373014803E-009   0.481307572E-011
   0.83930000373700492E-009   0.541095077E-011
   0.84084000374386181E-009   0.608095041E-011
   0.84238000375071870E-009   0.683150498E-011
   0.84392000375757559E-009   0.767199932E-011
   0.84546000376443248E-009   0.861287344E-011
   0.84700000377128937E-009   0.966573609E-011
   0.84854000377814626E-009   0.108434980E-010
   0.85008000378500315E-009   0.121605035E-010
   0.85162000379186004E-009   0.136326896E-010
   0.85316000379871693E-009   0.152777530E-010
   0.85470000380557382E-009   0.171153352E-010
   0.85624000381243071E-009   0.191672390E-010
   0.85778000381928760E-009   0.214576430E-010
   0.85932000382614449E-009   0.240133555E-010
   0.86086000383300137E-009   0.268640960E-010
   0.86240000383985826E-009   0.300427877E-010
   0.86394000384671515E-009   0.335859014E-010
   0.86548000385357204E-009   0.375338129E-010
   0.86702000386042893E-009   0.419311981E-010
   0.86856000386728582E-009   0.468275141E-010
   0.87010000387414271E-009   0.522774081E-010
   0.87164000388099960E-009   0.583413318E-010
   0.87318000388785649E-009   0.650860754E-010
   0.87472000389471338E-009   0.725854307E-010
   0.87626000390157027E-009   0.809208395E-010
   0.87780000390842716E-009   0.901822783E-010
   0.87934000391528405E-009   0.100468946E-009
   0.88088000392214094E-009   0.111890316E-009
   0.88242000392899783E-009   0.124567079E-009
   0.88396000393585472E-009   0.138632258E-009
   0.88550000394271161E-009   0.154232391E-009
   0.88704000394956850E-009   0.171528902E-009
   0.88858000395642539E-009   0.190699498E-009
   0.89012000396328228E-009   0.211939785E-009
   0.89166000397013917E-009   0.235464870E-009
   0.89320000397699606E-009   0.261511396E-009
   0.89474000398385295E-009   0.290339447E-009
   0.89628000399070984E-009   0.322234850E-009
   0.89782000399756673E-009   0.357511604E-009
   0.89936000400442362E-009   0.396514543E-009
   0.90090000401128051E-009   0.439621894E-009
   0.90244000401813740E-009   0.487249074E-009
   0.90398000402499429E-009   0.539851386E-009
   0.90552000403185118E-009   0.597928262E-009
   0.90706000403870807E-009   0.662027044E-009
   0.90860000404556496E-009   0.732747085E-009
   0.91014000405242185E-009   0.810745249E-009
   0.91168000405927874E-009   0.896740460E-009
   0.91322000406613563E-009   0.991519311E-009
   0.91476000407299252E-009   0.109594267E-008
   0.91630000407984941E-009   0.121095156E-008
   0.91784000408670630E-009   0.133757472E-008
   0.91938000409356319E-009   0.147693646E-008
   0.92092000410042008E-009   0.163026459E-008
   0.92246000410727697E-009   0.179889992E-008
   0.92400000411413385E-009   0.198430605E-008
   0.92554000412099074E-009   0.218807950E-008
   0.92708000412784763E-009   0.241196152E-008
   0.92862000413470452E-009   0.265785105E-008
   0.93016000414156141E-009   0.292781754E-008
   0.93170000414841830E-009   0.322411386E-008
   0.93324000415527519E-009   0.354919649E-008
   0.93478000416213208E-009   0.390573618E-008
   0.93632000416898897E-009   0.429664171E-008
   0.93786000417584586E-009   0.472507677E-008
   0.93940000418270275E-009   0.519447907E-008
   0.94094000418955964E-009   0.570858827E-008
   0.94248000419641653E-009   0.627146646E-008
   0.94402000420327342E-009   0.688752566E-008
   0.94556000421013031E-009   0.756155583E-008
   0.94710000421698720E-009   0.829875280E-008
   0.94864000422384409E-009   0.910476050E-008
   0.95018000423070098E-009   0.998569138E-008
   0.95172000423755787E-009   0.109481775E-007
   0.95326000424441476E-009   0.119994024E-007
   0.95480000425127165E-009   0.131471474E-007
   0.95634000425812854E-009   0.143998431E-007
   0.95788000426498543E-009   0.157666076E-007
   0.95942000427184232E-009   0.172573085E-007
   0.96096000427869921E-009   0.188826252E-007
   0.96250000428555610E-009   0.206540900E-007
   0.96404000429241299E-009   0.225841799E-007
